	mean_fit_time	mean_score_time	mean_test_score	mean_train_score	param_random_state	params	rank_test_score	split0_test_score	split0_train_score	split1_test_score	split1_train_score	split2_test_score	split2_train_score	std_fit_time	std_score_time	std_test_score	std_train_score
48	0.305440187454	0.0512320995331	0.38488	0.391530002987	48	{'random_state': 48}	7	0.384250787461	0.39182479562	0.385293852939	0.391243043785	0.385095403816	0.391522169557	0.0180969042436	0.000816238184067	0.000452252770463	0.000237563775842
52	0.277098417282	0.0515999794006	0.3849	0.391495003312	52	{'random_state': 52}	6	0.382210889456	0.39176479412	0.386253862539	0.39134804326	0.386235449418	0.391372172557	0.00610671146923	0.000617302888806	0.0019015744653	0.000191025069414
56	0.290432612101	0.0533033212026	0.38535	0.391564998162	56	{'random_state': 56}	2	0.384730763462	0.391509787745	0.385833858339	0.391363043185	0.385485419417	0.391822163557	0.0173839443604	0.00372219381112	0.000460408260292	0.000191457604748
60	0.291915973028	0.0518070062002	0.385	0.391485002087	60	{'random_state': 60}	5	0.383740812959	0.391809795245	0.385443854439	0.39092804536	0.385815432617	0.391717165657	0.0153920617391	0.0017816932875	0.000903242276401	0.000395639277836
64	0.282678047816	0.0512810548147	0.38471	0.391499998712	64	{'random_state': 64}	9	0.383320833958	0.39149478737	0.384933849338	0.39125804371	0.385875435017	0.391747165057	0.00430723893267	0.00097897065381	0.00105485721878	0.000199716952326
68	0.292629639308	0.0521353880564	0.38439	0.391354993962	68	{'random_state': 68}	15	0.381250937453	0.390969774244	0.386283862839	0.391303043485	0.385635425417	0.391792164157	0.0117508384334	0.00101915938885	0.00223546485615	0.000337742930888
72	0.288376967112	0.0534493923187	0.38391	0.391239998812	72	{'random_state': 72}	23	0.383200839958	0.39125478137	0.384663846638	0.39095804521	0.383865354614	0.391507169857	0.0130261973707	0.0019778944658	0.000598109608904	0.000224422759459
76	0.274496714274	0.0562163194021	0.38444	0.391605001862	76	{'random_state': 76}	14	0.384370781461	0.39179479487	0.386043860439	0.39140804296	0.382905316213	0.391612167757	0.0026340526221	0.00753926668713	0.00128222386833	0.000157972091464
80	0.280316352844	0.0554281075795	0.3842	0.391320003212	80	{'random_state': 80}	19	0.382210889456	0.391629790745	0.385503855039	0.391033044835	0.384885395416	0.391297174057	0.0141812967393	0.00803992298345	0.00142904719221	0.000244154729668
84	0.273357311885	0.0521880785624	0.38357	0.391400000412	84	{'random_state': 84}	25	0.381130943453	0.391449786245	0.385833858339	0.391333043335	0.383745349814	0.391417171657	0.00448068046705	0.00190968253805	0.00192397539348	4.91824188189e-05
88	0.274418989817	0.0508897304535	0.38549	0.391650000587	88	{'random_state': 88}	1	0.38419079046	0.391779794495	0.386703867039	0.39137804311	0.385575423017	0.391792164157	0.00603384398231	0.000498442574703	0.00102774592801	0.000192369270316
92	0.288523991903	0.0512353579203	0.38403	0.391470000812	92	{'random_state': 92}	22	0.382540872956	0.39164479112	0.385083850839	0.39110804446	0.384465378615	0.391657166857	0.0156691007002	0.000901402230371	0.00108285851142	0.000255991654084
96	0.28092734019	0.0506959756215	0.38448	0.391485004337	96	{'random_state': 96}	13	0.382780860957	0.391839795995	0.386673866739	0.39128804356	0.383985359414	0.391327173457	0.00968709829125	0.000205419095039	0.00162735782789	0.000251383674296
