params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_split,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'min_samples_split': 102},0.0690945088863,0.00794461369514,0.0241407986028,0.217794892639,102,11,0.0130745349058,0.22833441369,-0.0665295947298,0.226039666782,0.0187771463653,0.202727278001,0.0657272886204,0.199350791696,0.00930142748099,0.225320258998,0.0138080404065,0.225351943482,0.0485981507097,0.222411308457,0.0908251033479,0.212823480009,0.00749221078567,0.0020702545183,0.0439713382903,0.0106421454012
{'min_samples_split': 112},0.0651960074902,0.00725519657135,0.0267366041686,0.207357961874,112,10,0.00172059974158,0.21921878235,-0.068457248257,0.221185166011,0.028378578929,0.194547353851,0.0687031013771,0.18953696987,0.0101156936361,0.213759388676,0.0279862753882,0.207005485367,0.0527464191961,0.212034568052,0.0931615873287,0.201575980817,0.00465887353678,0.00123482441823,0.0458444808794,0.0106652152208
{'min_samples_split': 122},0.0657589137554,0.00725671648979,0.0340022820847,0.197316803248,122,9,0.00564147616817,0.210053598013,-0.0387581903585,0.209256272432,0.0506026242687,0.186874059088,0.0703944880265,0.180060093771,0.00956538939956,0.199085069756,0.0295939459829,0.196223259365,0.050413933183,0.202561953745,0.0949513938218,0.19442011981,0.00538979125816,0.000767952788828,0.0392023036065,0.00969437192523
{'min_samples_split': 132},0.061501532793,0.00719872117043,0.0358982978587,0.187859046126,132,8,0.00109614315584,0.202739851231,-0.0371576219988,0.204631770807,0.0529893553674,0.178895233642,0.0776116048307,0.172327995741,0.00627872424464,0.183535004581,0.0427525160901,0.181200678546,0.0510813244357,0.192652187657,0.0928952365705,0.186889646806,0.00184720763158,0.000724533388624,0.0402845643133,0.010672811538
{'min_samples_split': 142},0.0625307261944,0.00680312514305,0.0375763422721,0.178935665683,142,7,0.0101797094382,0.194916530909,-0.0384142222141,0.19427029165,0.0600605953034,0.170213268457,0.0826163302026,0.16421700955,0.00920561961616,0.17221809922,0.0329147864871,0.167955460787,0.0481644405602,0.18672011537,0.0962296859935,0.180974549522,0.00366488231105,0.000499403027791,0.0409836386008,0.0112566822469
{'min_samples_split': 152},0.0667154788971,0.00719177722931,0.0385707215171,0.171895979143,152,6,0.00832889102737,0.186207273717,-0.0384000768254,0.190590353978,0.0711554444451,0.158671971251,0.082724779077,0.159709540693,0.0102278414816,0.16564539005,0.0325064386595,0.163736820551,0.0461802353915,0.172646569927,0.096168254113,0.177959912974,0.0194299012896,0.000750206998956,0.0419323834576,0.0112952029787
{'min_samples_split': 162},0.0584587156773,0.00717949867249,0.0391535501329,0.166583202076,162,5,0.00494933624598,0.180236346906,-0.0303218030212,0.181797631556,0.0711057383668,0.156045816699,0.0857530373,0.156441381414,0.0129811038968,0.159408951058,0.03206905701,0.160061861719,0.0442107367151,0.164821287141,0.0927745856602,0.173852340114,0.00196304955839,0.000690366490173,0.0400417196384,0.00988510694711
{'min_samples_split': 172},0.0559859871864,0.00714075565338,0.0404010113516,0.159079543113,172,4,0.0162047426945,0.163266363019,-0.0283509706215,0.174771933593,0.072952032327,0.149086826074,0.0813536650892,0.152899129132,0.0127388610371,0.156403968151,0.0313081242189,0.150663256443,0.044579564288,0.158140471499,0.0927044818966,0.16740439699,0.0022092148983,0.000500428358413,0.0381621043123,0.00829163826522
{'min_samples_split': 182},0.0553100407124,0.00720483064651,0.0421038425134,0.154019967284,182,2,0.0195182509691,0.157820030326,-0.032444179072,0.171072227964,0.0749844924099,0.142728533016,0.0809141763898,0.144447928323,0.0154598908536,0.153670607498,0.0422555338317,0.14632125959,0.0475650272315,0.153681062783,0.0888385268385,0.162418088773,0.00365707655058,0.00108734188307,0.0380496090649,0.00904416900782
{'min_samples_split': 192},0.0549997985363,0.00779658555984,0.0420483149245,0.148440709822,192,3,0.0216968166866,0.150470218838,-0.0388769199272,0.168565376101,0.0757396044329,0.137065687663,0.0797280030347,0.138370740349,0.0179239414273,0.148876651574,0.0439373827697,0.141299747329,0.045714398051,0.149108247006,0.0907853083034,0.153769009715,0.00306914425868,0.00232108838526,0.0395219936722,0.00948641324573
{'min_samples_split': 202},0.0515836179256,0.00695478916168,0.0426226996701,0.141013919247,202,1,0.0228028157043,0.14803954619,-0.0347659523749,0.159134784014,0.0729822853779,0.130157298479,0.082941649351,0.130480676191,0.0229772666449,0.14151457655,0.0410315861713,0.134674678673,0.0428798883649,0.138723724235,0.0903720910218,0.145386069643,0.00253684534888,0.00114814366283,0.0380801773587,0.00916063534017
