params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'max_leaf_nodes': 5, 'min_samples_leaf': 41, 'n_estimators': 450, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.42184877396,0.277727514505,0.0494616176822,0.0779085775373,3,sqrt,5,41,182,0.10000000000000001,450,13,0.0633629275683,0.0749536408867,0.0454198980314,0.077880364568,0.0448524051254,0.0806076538667,0.0518453210375,0.0771929721464,0.062002781653,0.0771347954337,0.0696874607873,0.07568170072,-0.00412639918619,0.0862091696323,0.0624455258974,0.0736083230446,0.013063411637,0.00402352061964,0.021888128513,0.00369931222697
"{'max_leaf_nodes': 5, 'min_samples_leaf': 41, 'n_estimators': 490, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.53119888902,0.295549362898,0.049683548022,0.0778858460459,3,sqrt,5,41,182,0.10000000000000001,490,1,0.0632474820705,0.0749228099377,0.0463244681522,0.0779028531717,0.0451405308739,0.0806776568149,0.0519221225961,0.0771297387869,0.0618398119502,0.0769143457285,0.069880552993,0.0755756920004,-0.00393727697627,0.0864712403886,0.0628484127146,0.0734924315388,0.0251878569,0.0126695599271,0.0218364374701,0.00381506044202
"{'max_leaf_nodes': 5, 'min_samples_leaf': 41, 'n_estimators': 450, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.4046702683,0.27260607481,0.044119888521,0.0608247722117,3,sqrt,5,41,182,0.20000000000000001,450,113,0.0516376857562,0.0582809843008,0.0441545867092,0.0605618128729,0.0402475232974,0.0630045430361,0.0465321465508,0.0609361092128,0.057996299919,0.0596102714631,0.064924084068,0.0590502257195,-0.00277216430922,0.0683093964513,0.0500340567539,0.0568448346375,0.014163559473,0.0126305550211,0.0191345110852,0.00331261474799
"{'max_leaf_nodes': 5, 'min_samples_leaf': 41, 'n_estimators': 490, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.51797327399,0.304437607527,0.0442385114352,0.0608629389254,3,sqrt,5,41,182,0.20000000000000001,490,97,0.0516701618719,0.0581930505429,0.0441096926797,0.0604369903116,0.0402978651722,0.063179377754,0.0468494223425,0.060961019481,0.0580506008437,0.0595916348417,0.0649855303741,0.058995224061,-0.00227853511634,0.0685869716964,0.0500196738931,0.0569592427145,0.017034780465,0.0139226631527,0.0190022571344,0.00340384606145
"{'max_leaf_nodes': 5, 'min_samples_leaf': 53, 'n_estimators': 450, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.41628974676,0.291317880154,0.0495017699528,0.0776561338798,3,sqrt,5,53,202,0.10000000000000001,450,9,0.0635905598921,0.0745554065311,0.0452920369384,0.077643511305,0.0453127921204,0.0803419647672,0.0514181969382,0.0771078977786,0.0616712931815,0.0770709291872,0.069919732721,0.0753794177361,-0.00374417289594,0.0859459663437,0.0623517408669,0.0732039773893,0.049140274511,0.0386462366952,0.0217727410564,0.00372823417358
"{'max_leaf_nodes': 5, 'min_samples_leaf': 53, 'n_estimators': 490, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.52467477322,0.304042518139,0.0495886162426,0.0775975974251,3,sqrt,5,53,202,0.10000000000000001,490,5,0.0632858923104,0.0744537279832,0.0457022844078,0.0775918231676,0.045487402537,0.0803171652511,0.0513710871301,0.0769273582821,0.0614125653413,0.0769211051513,0.0700455857377,0.0752797996014,-0.00355126960769,0.0862045433803,0.0627555171599,0.0730852565839,0.0178123818421,0.0109413481114,0.0217023849083,0.00384056937787
"{'max_leaf_nodes': 5, 'min_samples_leaf': 53, 'n_estimators': 450, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.40014639497,0.285110592842,0.0442430160384,0.0609004668941,3,sqrt,5,53,202,0.20000000000000001,450,81,0.0517077395681,0.0581352761333,0.0442593413733,0.0606841908847,0.0403208805084,0.063032501103,0.0465836361685,0.0610698819146,0.0581017256778,0.0594220517965,0.065251802293,0.059351496929,-0.00263199829597,0.0685275633477,0.0501461415697,0.0569807730438,0.0224610661186,0.0212427149637,0.0191528018026,0.00336134173211
"{'max_leaf_nodes': 5, 'min_samples_leaf': 53, 'n_estimators': 490, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.50121936202,0.29634475708,0.0442842569183,0.0608865329194,3,sqrt,5,53,202,0.20000000000000001,490,65,0.0516531650214,0.0580347060188,0.0440899322258,0.0604665865032,0.0402682812259,0.0630128013777,0.0468716482963,0.0610692834862,0.0580128595877,0.0593916672815,0.0651796777311,0.0592584330128,-0.00217571678973,0.0687605857129,0.050171343613,0.0570981999622,0.0105466462104,0.010804706336,0.0190002811974,0.00342967187863
"{'max_leaf_nodes': 5, 'min_samples_leaf': 53, 'n_estimators': 450, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.43525114655,0.280905395746,0.0494616176822,0.0779085775373,3,sqrt,5,53,182,0.10000000000000001,450,13,0.0633629275683,0.0749536408867,0.0454198980314,0.077880364568,0.0448524051254,0.0806076538667,0.0518453210375,0.0771929721464,0.062002781653,0.0771347954337,0.0696874607873,0.07568170072,-0.00412639918619,0.0862091696323,0.0624455258974,0.0736083230446,0.0530716237303,0.0123409252129,0.021888128513,0.00369931222697
"{'max_leaf_nodes': 5, 'min_samples_leaf': 53, 'n_estimators': 490, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.53421574831,0.307334065437,0.049683548022,0.0778858460459,3,sqrt,5,53,182,0.10000000000000001,490,1,0.0632474820705,0.0749228099377,0.0463244681522,0.0779028531717,0.0451405308739,0.0806776568149,0.0519221225961,0.0771297387869,0.0618398119502,0.0769143457285,0.069880552993,0.0755756920004,-0.00393727697627,0.0864712403886,0.0628484127146,0.0734924315388,0.0137916631242,0.0159921556457,0.0218364374701,0.00381506044202
