params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_epsilon,param_fit_intercept,param_l1_ratio,param_learning_rate,param_loss,param_penalty,param_shuffle,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'loss': 'huber', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00532153248787,0.00102466344833,-3899819452.81,-3643188238.52,20.00001,10.00001,True,0.10000000000000001,invscaling,huber,l2,True,212,-5588824352.78,-3159642219.41,-4100667954.63,-3397492170.62,-2972062261.03,-3847278428.65,-2885126567.59,-3468875217.37,-2617205642.77,-3660848890.42,-3300256359.57,-3717769797.81,-4774178135.06,-3991992767.95,-4960234349.04,-3901606415.91,0.000851873106665,0.000200739550493,1041451491.72,264702665.078
"{'loss': 'huber', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00566807389259,0.00105339288712,-3317069904.55,-3086099080.73,20.00001,10.00001,True,0.10000000000000001,invscaling,huber,l2,False,194,-5048387498.66,-2851534707.22,-3565978078.14,-2954044036.77,-2415120902.08,-3128165673.06,-2573332150.18,-3093505342.42,-2264122588.5,-3166343861.47,-2721114375.11,-3065085214.7,-3539776572.35,-2962248712.29,-4408727071.38,-3467865097.88,0.00103780290997,0.000118593697759,944143025.056,174014526.648
"{'loss': 'huber', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00669872760773,0.00119990110397,-7.52134436432,-7.04985741263,20.00001,10.00001,True,0.10000000000000001,invscaling,huber,elasticnet,True,142,-11.7675028171,-6.58626123256,-7.80470040637,-6.96590386362,-5.76818390138,-7.13236325803,-5.94716326398,-7.54385031851,-5.26963185936,-7.60490498752,-6.77856714444,-7.22672035165,-8.64686791392,-6.57173897022,-8.18813760802,-6.7671163189,0.000719060217123,0.000162716957633,1.96834682195,0.37428329892
"{'loss': 'huber', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00591802597046,0.00105914473534,-7.51091621015,-6.99960770322,20.00001,10.00001,True,0.10000000000000001,invscaling,huber,elasticnet,False,141,-11.7229930861,-6.56123152953,-7.95432485554,-7.09449377586,-5.77546053382,-7.14157279343,-5.70320901482,-7.24226533141,-5.0134336519,-7.24092658032,-6.4674963752,-6.88587039906,-9.18279879274,-6.99933937119,-8.26761337108,-6.83116184497,0.00104370505891,0.000193425693654,2.0890111473,0.217875796545
"{'loss': 'epsilon_insensitive', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.0050975382328,0.00112468004227,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.10000000000000001,invscaling,epsilon_insensitive,l2,True,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.00116644988041,0.000289356965382,1.66062234161,0.19613375953
"{'loss': 'epsilon_insensitive', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00537946820259,0.00112965703011,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.10000000000000001,invscaling,epsilon_insensitive,l2,False,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.000533944122641,0.000120651782466,1.66062234161,0.19613375953
"{'loss': 'epsilon_insensitive', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00493314862251,0.000983446836472,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.10000000000000001,invscaling,epsilon_insensitive,elasticnet,True,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.000952244576758,0.000240047091718,1.66062234161,0.19613375953
"{'loss': 'epsilon_insensitive', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00502789020538,0.000959187746048,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.10000000000000001,invscaling,epsilon_insensitive,elasticnet,False,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.000809748726668,0.000174723101565,1.66062234161,0.19613375953
"{'loss': 'huber', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'constant', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00434666872025,0.000947207212448,-4.3349739108e+11,-4.04735029653e+11,20.00001,10.00001,True,0.10000000000000001,constant,huber,l2,True,254,-6.85546405942e+11,-3.87615923265e+11,-4.80483148899e+11,-3.98084710083e+11,-3.29875343379e+11,-4.27083542756e+11,-3.44867608266e+11,-4.14588916477e+11,-3.00565932025e+11,-4.20231098285e+11,-3.6339849062e+11,-4.09381028423e+11,-4.66995646839e+11,-3.90549668168e+11,-4.96246552666e+11,-3.90345349768e+11,0.000986546110096,0.000206603642902,1.18307519611e+11,14159124675.7
"{'loss': 'huber', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'constant', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00531911849976,0.000939637422562,-4.29833104536e+11,-4.00549735582e+11,20.00001,10.00001,True,0.10000000000000001,constant,huber,l2,False,248,-6.60417234342e+11,-3.73308180513e+11,-4.6676172112e+11,-3.86696464059e+11,-3.162084972e+11,-4.0947379264e+11,-3.36853777641e+11,-4.04948659274e+11,-2.96436455934e+11,-4.14471693225e+11,-3.56179241136e+11,-4.01235131226e+11,-4.63089210133e+11,-3.87358222147e+11,-5.42718698779e+11,-4.2690574157e+11,0.00179836689722,0.00019987706214,1.18931258329e+11,16186223033.1
