params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_split,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'min_samples_split': 102},0.0860529243946,0.00822901725769,0.00653991199278,0.186955136826,102,11,-0.00402004044728,0.184813334284,0.0490191602638,0.1801953062,-0.0131147017536,0.192954396284,-0.0329907899545,0.191631760421,0.0956340175003,0.187271367253,-0.0606947682421,0.189558146764,-0.0019356941877,0.173828306793,0.0204221127634,0.195388476611,0.0145111202204,0.00251907343412,0.0455354156509,0.00669379469746
{'min_samples_split': 112},0.077646791935,0.00799363851547,0.00842503999694,0.178086252044,112,10,-0.00325583297907,0.176723807266,0.0473350734094,0.176042371735,-0.0100572441201,0.18596362506,-0.0325793785835,0.181427774326,0.0961442819681,0.176318206886,-0.0573411348312,0.175409715986,0.0106072141281,0.164801911097,0.0165473409838,0.188002603993,0.00450992460669,0.00148312919402,0.0443902853727,0.00674861151093
{'min_samples_split': 122},0.0769522488117,0.00707447528839,0.00999972269919,0.171139751619,122,9,0.00506107627179,0.170114739501,0.0424520352539,0.167470783494,-0.010656174577,0.177154270657,-0.0268005993678,0.176743528096,0.0986687372116,0.167760280243,-0.0580318841943,0.173039795434,0.0102485664518,0.156293669035,0.0190560245435,0.180540946491,0.00412338903196,0.000289823624319,0.0439190232311,0.0071230993376
{'min_samples_split': 132},0.0748551487923,0.00747686624527,0.0113066316104,0.164481939817,132,8,0.00604917371366,0.164065018563,0.0435999429018,0.161597923562,-0.00584466170164,0.171498692496,-0.0272427911114,0.170031077218,0.100471753069,0.162238384776,-0.0509945280344,0.16292007653,0.0106227887272,0.15025782116,0.0137913753192,0.173246524228,0.00314861902173,0.00103791733655,0.0428503480766,0.00684776938825
{'min_samples_split': 142},0.0730891525745,0.00697821378708,0.0116096513563,0.158239867685,142,7,0.0120575396132,0.158796510679,0.0402856116784,0.157131565609,-0.0024145754673,0.164266278787,-0.023957863359,0.165670385007,0.10061336798,0.154652312164,-0.0535042444201,0.152737046003,0.012197769498,0.145528405195,0.00759960532664,0.167136438034,0.00397540443816,0.000487456183292,0.0425178575623,0.00686431211996
{'min_samples_split': 152},0.0727332830429,0.00711750984192,0.0139304134703,0.151847463778,152,6,0.0119730330787,0.155860322882,0.0400889355751,0.152628925332,0.00105213077426,0.156769392184,-0.0175287409414,0.158847646076,0.105094741686,0.147770293983,-0.0492050085158,0.141889404032,0.0107327030712,0.137325584687,0.00923551303386,0.163688141048,0.00289524702229,0.000165839146168,0.0420905450615,0.00834277029652
{'min_samples_split': 162},0.0715999007225,0.00725445151329,0.0142579079194,0.147034350055,162,5,0.0102157798141,0.150265250965,0.041579884224,0.148427412981,-3.07337485732e-05,0.152995894098,-0.0164429270125,0.151058939072,0.10369497301,0.142828819785,-0.0497817751584,0.137819079576,0.0137233998727,0.133308456601,0.0111046623541,0.159570947358,0.0062859717077,0.000487152841183,0.0418626235624,0.00800227145138
{'min_samples_split': 172},0.0732951462269,0.00683635473251,0.0167086491019,0.142376046611,172,4,0.010017944003,0.146006662414,0.045840691418,0.144822999362,0.000861348840348,0.145514882918,-0.0134709448242,0.147316245595,0.106703755103,0.138461026878,-0.0495687805019,0.135222674593,0.0135747905714,0.128654231956,0.0197103882052,0.15300964917,0.00625263249756,0.000331148124015,0.0426702978156,0.0072567780367
{'min_samples_split': 182},0.0681360960007,0.0082523226738,0.0190310589963,0.13852542406,182,1,0.0224822103594,0.137845531744,0.043938159478,0.142453841075,0.00150241408225,0.141355847648,-0.0105480949372,0.142721942532,0.110868369187,0.136487588409,-0.0493892519654,0.133702471287,0.0118984210007,0.126469045112,0.0214962447656,0.147167124675,0.00310818690082,0.00345559045947,0.0432822654227,0.00601005084464
{'min_samples_split': 192},0.0697247385979,0.00761505961418,0.0180870353481,0.134996085359,192,3,0.0189783328385,0.135980920991,0.0446162522296,0.140379580857,-0.00643389409849,0.136865788725,-0.0103350579045,0.139541238495,0.11029852777,0.135290200311,-0.0483337315019,0.13070192771,0.0135154984193,0.121256293043,0.0223903550322,0.139952732742,0.00400336552804,0.00100594742874,0.0433989922681,0.00597894924284
{'min_samples_split': 202},0.0687612891197,0.00721856951714,0.0183066473869,0.132179129912,202,2,0.0208272660393,0.133050067618,0.0409211120868,0.138257914962,-0.00321218741938,0.1339419122,-0.00561665071349,0.138032614887,0.111479828589,0.133615162156,-0.0531458497576,0.125774253948,0.0139058991597,0.11867667107,0.0212937611106,0.136084442459,0.00616336537344,0.000228633330883,0.0438294171368,0.00628225012943
