params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_leaf_size,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'leaf_size': 51},0.00216215848923,0.00215485692024,-0.108871731832,0.239237480648,51,5,-0.0198718702209,0.238077217081,-0.124345710767,0.24572933704,-0.0930020096313,0.241420582864,-0.176422146299,0.239401312385,0.0235321366162,0.224071814166,-0.0667572018119,0.24277987636,-0.177040736464,0.233111781574,-0.238053067778,0.249307923718,0.000381613491021,0.000795614207012,0.0818343365962,0.00732945433746
{'leaf_size': 56},0.00248962640762,0.00189539790154,-0.108871731832,0.239237480648,56,5,-0.0198718702209,0.238077217081,-0.124345710767,0.24572933704,-0.0930020096313,0.241420582864,-0.176422146299,0.239401312385,0.0235321366162,0.224071814166,-0.0667572018119,0.24277987636,-0.177040736464,0.233111781574,-0.238053067778,0.249307923718,0.000644064963552,0.000236724930663,0.0818343365962,0.00732945433746
{'leaf_size': 61},0.00208136439323,0.00201153755188,-0.108871731832,0.239237480648,61,5,-0.0198718702209,0.238077217081,-0.124345710767,0.24572933704,-0.0930020096313,0.241420582864,-0.176422146299,0.239401312385,0.0235321366162,0.224071814166,-0.0667572018119,0.24277987636,-0.177040736464,0.233111781574,-0.238053067778,0.249307923718,0.000194374518704,0.000316872104892,0.0818343365962,0.00732945433746
{'leaf_size': 66},0.00219389796257,0.00199761986732,-0.108871731832,0.239237480648,66,5,-0.0198718702209,0.238077217081,-0.124345710767,0.24572933704,-0.0930020096313,0.241420582864,-0.176422146299,0.239401312385,0.0235321366162,0.224071814166,-0.0667572018119,0.24277987636,-0.177040736464,0.233111781574,-0.238053067778,0.249307923718,0.000459762774641,0.000568865280056,0.0818343365962,0.00732945433746
{'leaf_size': 71},0.00205811858177,0.0018013715744,-0.108871731832,0.239237480648,71,5,-0.0198718702209,0.238077217081,-0.124345710767,0.24572933704,-0.0930020096313,0.241420582864,-0.176422146299,0.239401312385,0.0235321366162,0.224071814166,-0.0667572018119,0.24277987636,-0.177040736464,0.233111781574,-0.238053067778,0.249307923718,0.000188193600437,0.000171935174399,0.0818343365962,0.00732945433746
{'leaf_size': 76},0.0021892786026,0.00184372067451,-0.108871731832,0.239237480648,76,5,-0.0198718702209,0.238077217081,-0.124345710767,0.24572933704,-0.0930020096313,0.241420582864,-0.176422146299,0.239401312385,0.0235321366162,0.224071814166,-0.0667572018119,0.24277987636,-0.177040736464,0.233111781574,-0.238053067778,0.249307923718,0.000175978956195,0.000144607228412,0.0818343365962,0.00732945433746
{'leaf_size': 81},0.00202709436417,0.00215888023376,-0.108871731832,0.239237480648,81,5,-0.0198718702209,0.238077217081,-0.124345710767,0.24572933704,-0.0930020096313,0.241420582864,-0.176422146299,0.239401312385,0.0235321366162,0.224071814166,-0.0667572018119,0.24277987636,-0.177040736464,0.233111781574,-0.238053067778,0.249307923718,0.000120439544026,0.000842982968033,0.0818343365962,0.00732945433746
{'leaf_size': 86},0.00206872820854,0.00182965397835,-0.108871731832,0.239237480648,86,5,-0.0198718702209,0.238077217081,-0.124345710767,0.24572933704,-0.0930020096313,0.241420582864,-0.176422146299,0.239401312385,0.0235321366162,0.224071814166,-0.0667572018119,0.24277987636,-0.177040736464,0.233111781574,-0.238053067778,0.249307923718,0.000166181659272,0.000200680171137,0.0818343365962,0.00732945433746
{'leaf_size': 91},0.00264438986778,0.00221127271652,-0.110988583645,0.237248419617,91,15,-0.0174432775174,0.231908471621,-0.118293349843,0.251099177139,-0.102804681094,0.244400178682,-0.168295279667,0.230044153223,-0.0119313494924,0.22280565069,-0.0556683362716,0.24869974936,-0.177778646759,0.228100143878,-0.236656036097,0.240929832343,0.00177294142803,0.000382451172328,0.0751966450134,0.0097492173813
{'leaf_size': 96},0.00204092264175,0.00228402018547,-0.110988583645,0.237248419617,96,15,-0.0174432775174,0.231908471621,-0.118293349843,0.251099177139,-0.102804681094,0.244400178682,-0.168295279667,0.230044153223,-0.0119313494924,0.22280565069,-0.0556683362716,0.24869974936,-0.177778646759,0.228100143878,-0.236656036097,0.240929832343,0.000265783166357,0.000763070278178,0.0751966450134,0.0097492173813
