params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_leaf,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'min_samples_leaf': 41},0.0639317333698,0.00714829564095,0.0168900129736,0.117020778183,41,10,0.0225460170499,0.118450829521,0.0680850577966,0.105489917475,0.0200483879553,0.122094019965,-0.00484049092525,0.114180781406,0.0902692718753,0.111875364139,-0.0587690462906,0.129242396683,-0.00833466970312,0.120400089415,0.0061155760309,0.114432826861,0.00503328060482,0.000255269887029,0.0432959223283,0.00673395909047
{'min_samples_leaf': 45},0.0620193481445,0.00717091560364,0.0196780414544,0.109826405159,45,5,0.0422191133124,0.108655094361,0.0583348241771,0.0990673867227,0.024485513219,0.116264230886,-0.0171605104897,0.109836464923,0.0951359211214,0.104786151646,-0.0543894046601,0.121066307357,0.00322221391705,0.11147463918,0.00557666103829,0.107460966196,0.00244775204428,0.000239463305349,0.0433476626135,0.00631095953246
{'min_samples_leaf': 49},0.0628739595413,0.00732088088989,0.0222620538173,0.102448721956,49,2,0.0474603595194,0.0995894547227,0.0456269085212,0.0937960056604,0.0305875328724,0.110245442076,-0.0171771639411,0.10084459628,0.1090957385,0.0935303635223,-0.0554052545971,0.114549864983,0.00695784167363,0.103698953144,0.0109504679906,0.103335095264,0.00389949031089,0.00100183169198,0.0457439982669,0.00684407122609
{'min_samples_leaf': 53},0.0612942278385,0.00719138979912,0.0158808141269,0.0960880207226,53,13,0.0446775393319,0.0956192616173,0.0356314969402,0.0872467598928,0.0115338954267,0.0985696282883,-0.0180475789065,0.0931839577882,0.0827461118333,0.088389785692,-0.0497177398993,0.108245221319,0.00981809050261,0.0981666843675,0.0104046977861,0.0992828668152,0.00598058900337,0.000269777034022,0.0374670775578,0.00627064409411
{'min_samples_leaf': 57},0.0584176182747,0.00759732723236,0.0169481669323,0.0913736517839,57,9,0.042541343365,0.0916267429322,0.0399410821912,0.0836523323563,0.0133311722063,0.0926462382669,-0.017408190362,0.0889708621691,0.081723986874,0.084533876061,-0.0480492734451,0.10266123694,0.0108142860022,0.0936193945822,0.0126909286266,0.0932785309639,0.00261370625062,0.00134075232756,0.0368331532851,0.00558949616603
{'min_samples_leaf': 61},0.0589668154716,0.00704577565193,0.0172536138888,0.0874117177823,61,8,0.0369244612441,0.085136050664,0.0376971520004,0.0773206749923,0.0187877809393,0.0895486396328,-0.0153510870054,0.0854712378055,0.0811483197186,0.0834137988671,-0.0450245831527,0.099612651092,0.0107984975834,0.0882251333198,0.0130483697823,0.0905655558845,0.00444947413564,0.000249360715257,0.0351616988701,0.00602903570078
{'min_samples_leaf': 65},0.0566701292992,0.00725185871124,0.0167788668803,0.0836388677162,65,11,0.0359420702849,0.0806557193926,0.0360215546804,0.0728664142239,0.0143004566564,0.0854611969268,-0.0133755960338,0.0829525065032,0.0853987024162,0.0798913875759,-0.0468703915693,0.0973713290998,0.00969285646501,0.0825792410314,0.0131212821426,0.0873331469757,0.00217148065325,0.000663752014588,0.0361877792722,0.0065777229594
{'min_samples_leaf': 69},0.0579700469971,0.0069288611412,0.0180641897486,0.0796457676022,69,7,0.0320706582689,0.0772259764564,0.0373862862485,0.0699870060329,0.0252877252184,0.0810828605703,-0.00996854347581,0.0799377262817,0.0830353324558,0.0743661737897,-0.0486320008233,0.0920177791804,0.0111563986605,0.0796478502399,0.0141776614358,0.0829007682662,0.00364523446111,0.00032927307872,0.0356019523197,0.00605013796627
{'min_samples_leaf': 73},0.0553641021252,0.00685316324234,0.0182755996567,0.0765141971815,73,6,0.0309196804214,0.0761167149913,0.0383461116394,0.067519689145,0.0212518124018,0.0778103028821,-0.00612550331895,0.0765270121182,0.0823782889183,0.0693511651385,-0.0478596501869,0.0876172984368,0.0134403933754,0.0777574356476,0.0138536640028,0.0794139590926,0.0042819066871,0.00036056301036,0.0348082760912,0.00578015319519
{'min_samples_leaf': 77},0.0534528195858,0.00729966163635,0.016259585411,0.0737947339062,77,12,0.0296037217033,0.072550358212,0.0307092095026,0.0667234392441,0.0162815294811,0.0724066501498,-0.00520887401817,0.0717904477238,0.0798877800934,0.0687513232226,-0.0447290463626,0.0825577610473,0.0130997661971,0.0773906337449,0.0104325966916,0.0781872579053,0.00100877412562,0.00104142863277,0.0329010855838,0.00489830349987
